Column1,ID,Field_Of_Study,Primary_Hobby,Secondary_Hobby,Gender,Desired_Career_Field,Country_Of_Origin,combined_text,Recommendations
318,100319,Environmental Engineering,Gardening,Drawing,Male,Sustainable Building Design Engineer,Australia,Sustainable Building Design Engineer Environmental Engineering Gardening Drawing,"['Physical Chemical Processes in Environmental Engineering', 'Data Science', 'Applied Biological Principles and Processes in Environmental Engineering', 'Tropical Ecology', 'Special Topics in Electrical and Computer Engineering']"
319,100320,Mechanical Engineering,Cooking,Wood Working,Female,Biomechanical Engineer,United Kingdom,Biomechanical Engineer Mechanical Engineering Cooking Wood Working,"['Physical Chemical Processes in Environmental Engineering', 'Biomedical Aspects of Blast and Ballistics (GE, BB)', 'Invention to Application: Healthcare Research Commercialization', 'Data Science', 'Special Topics in Electrical and Computer Engineering']"
320,100321,Financial Technology,Shopping,Digital Art,Male,Economic Consulting,Germany,Economic Consulting Financial Technology Shopping Digital Art,"['Product Management in High-Tech Companies', 'Marketing', 'Writing about Performance', 'Special Topics in Electrical and Computer Engineering', 'Product Development']"
321,100322,Game Design Development and Innovation,Video Gaming,Writing,Male,Game Developer,France,Game Developer Game Design Development and Innovation Video Gaming Writing,"['Fundamentals of Game Development', 'Special Topics in Electrical and Computer Engineering', 'Critical Analysis of Video Games', 'Interdisciplinary Introduction to Computer Science', 'Writing about Performance']"
322,100323,Computer Programming,Hiking,Cooking,Female,Software Engineer,Japan,Software Engineer Computer Programming Hiking Cooking,"['Commercializing Technology Innovations: Turning Visions into Value', 'Introduction to Algorithms', 'Design and Analysis of Algorithms', 'Computer Architecture', 'Special Topics in Electrical and Computer Engineering']"
323,100324,Materials Science and Engineering,Pottery,Soccer,Male,Materials Researcher,South Korea,Materials Researcher Materials Science and Engineering Pottery Soccer,"['Chemical Fate of Organic Compounds', 'Architectural Engineering I', 'Writing about Performance', 'Special Topics in Electrical and Computer Engineering', 'Environmental Transport Phenomena']"
324,100325,Electrical and Computer Engineering,Knitting,Crochet,Female,Hardware Engineer,Brazil,Hardware Engineer Electrical and Computer Engineering Knitting Crochet,"['Compiler Construction', 'Advanced Computer Architecture I', 'Special Topics in Electrical and Computer Engineering', 'Control of Dynamic Systems', 'Introduction to Robotics and Automation']"
325,100326,Civil Engineering,Running,Painting,Male,Civil Engineer,Mexico,Civil Engineer Civil Engineering Running Painting,"['Architectural Engineering I', 'Writing about Performance', 'Environmental Transport Phenomena', 'Physical Chemical Processes in Environmental Engineering', 'Special Topics in Electrical and Computer Engineering']"
326,100327,Photonics and Optical Sciences,Photography,Mountain Biking,Male,Optics Engineer,Spain,Optics Engineer Photonics and Optical Sciences Photography Mountain Biking,"['Special Topics in Electrical and Computer Engineering', 'Signals and Systems - Lab', 'Introduction to Quantum Engineering', 'Introduction to Microelectronic Devices and Circuits', 'Functional Ecology of Plants']"
327,100328,Risk Engineering,Surfing,Music,Female,Risk Analyst,Italy,Risk Analyst Risk Engineering Surfing Music,"['Deep-Sea Science and Environmental Management', 'Functional Ecology of Plants', 'Global Change Biology: From Molecules to Organisms', 'Special Topics in Electrical and Computer Engineering', 'Data Science']"
328,100329,Medical Technology Design,Sewing,Jewelry Design,Female,Medical Device Engineer,India,Medical Device Engineer Medical Technology Design Sewing Jewelry Design,"['Physical Chemical Processes in Environmental Engineering', 'Biomedical Aspects of Blast and Ballistics (GE, BB)', 'Invention to Application: Healthcare Research Commercialization', 'Global Change Biology: From Molecules to Organisms', 'Special Topics in Electrical and Computer Engineering']"
329,100330,Computational Mechanics and Scientific Computing,Chess,Digital Art,Male,Computational Scientist,China,Computational Scientist Computational Mechanics and Scientific Computing Chess Digital Art,"['Introduction to Quantum Engineering', 'Interdisciplinary Introduction to Computer Science', 'AIPI Seminar', 'Data Science', 'Software Quality Management']"
330,100331,Climate and Sustainability Engineering,Beekeeping,Gardening,Female,Environmental Scientist,Russia,Environmental Scientist Climate and Sustainability Engineering Beekeeping Gardening,"['Tropical Ecology', 'Special Topics in Electrical and Computer Engineering', 'Applied Biological Principles and Processes in Environmental Engineering', 'Chemical Fate of Organic Compounds', 'Physical Chemical Processes in Environmental Engineering']"
331,100332,Biomedical Engineering,Drawing,Pottery,Female,Biomedical Engineer,Sweden,Biomedical Engineer Biomedical Engineering Drawing Pottery,"['Physical Chemical Processes in Environmental Engineering', 'Global Change Biology: From Molecules to Organisms', 'Arts Activism & Everyday Technology', 'Special Topics in Electrical and Computer Engineering', 'Data Science']"
332,100333,Design and Technology Innovation,Sculpting,Wood Working,Male,Industrial Designer,Netherlands,Industrial Designer Design and Technology Innovation Sculpting Wood Working,"['Marketing', 'Negotiations and Consultative Selling in Technology', 'Advanced Topics in Design and Technology Innovation', 'Design Thinking and Innovation', 'Commercializing Technology Innovations: Turning Visions into Value']"
333,100334,Electrical Engineering,Basketball,Photography,Male,Electrical Engineer,Norway,Electrical Engineer Electrical Engineering Basketball Photography,"['Compiler Construction', 'Introduction to Quantum Engineering', 'Computer Architecture', 'Introduction to Random Signals and Noise', 'Special Topics in Electrical and Computer Engineering']"
334,100335,AI,Yoga,Creative Writing,Female,AI Researcher,Switzerland,AI Researcher AI Yoga Creative Writing,"['Deep Reinforcement Learning Applications', 'Data Science', 'Special Topics in Electrical and Computer Engineering', 'Writing about Performance', 'AIPI Seminar']"
335,100336,Financial Technology,Brewing,Chess,Female,Financial Analyst,United States,Financial Analyst Financial Technology Brewing Chess,"['Innovation Management in Technology-Based Organizations', 'Introduction to Algorithms', 'Introduction to Computer Science', 'Advanced Computer Architecture I', 'Computer Architecture']"
336,100337,Environmental Engineering,Backpacking,Photography,Male,Environmental Consultant,Canada,Environmental Consultant Environmental Engineering Backpacking Photography,"['Tropical Ecology', 'Tropical Ecology', 'Environmental Justice: Theory and Practice for Environmental Scientists and Policy Professionals', 'Global Change Biology: From Molecules to Organisms', 'Special Topics in Electrical and Computer Engineering']"
337,100338,Mechanical Engineering,Wood Working,Fishing,Male,Robotics Engineer,Australia,Robotics Engineer Mechanical Engineering Wood Working Fishing,"['Introduction to Quantum Engineering', 'Deep Reinforcement Learning Applications', 'Computer Architecture', 'Data Science', 'Special Topics in Electrical and Computer Engineering']"
338,100339,AI,Video Gaming,Music,Female,Natural Language Processing Engineer,United Kingdom,Natural Language Processing Engineer AI Video Gaming Music,"['Optimization in Practice', 'Interdisciplinary Introduction to Computer Science', 'Data Science', 'Computer Architecture', 'Critical Analysis of Video Games']"
339,100340,Cybersecurity,Hiking,Drawing,Female,Cybersecurity Analyst,Germany,Cybersecurity Analyst Cybersecurity Hiking Drawing,"['The Human Element in Cybersecurity', 'Identity and Access Management', 'Introduction to Cybersecurity Perspectives', 'Applying Machine Learning to Advance Cybersecurity', 'Computer Architecture']"
340,100341,Game Design Development and Innovation,Writing,Painting,Male,Game Designer,France,Game Designer Game Design Development and Innovation Writing Painting,"['Advanced Computer Architecture I', 'Fundamentals of Game Development', 'Critical Analysis of Video Games', 'Special Topics in Electrical and Computer Engineering', 'Writing about Performance']"
341,100342,Computer Programming,Snowboarding,Digital Art,Male,UI/UX Designer,Japan,UI/UX Designer Computer Programming Snowboarding Digital Art,"['Computer Architecture', 'Design Thinking and Innovation', 'Product Development', 'Writing about Performance', 'Innovation Management in Technology-Based Organizations']"
342,100343,Materials Science and Engineering,Jewelry Design,Pottery,Female,Metallurgical Engineer,South Korea,Metallurgical Engineer Materials Science and Engineering Jewelry Design Pottery,"['Supply Chain Management', 'Operations Management', 'Introduction to Microelectronic Devices and Circuits', 'Control of Dynamic Systems', 'Product Management in High-Tech Companies']"
343,100344,Electrical and Computer Engineering,Soccer,Knitting,Male,Embedded Systems Engineer,Brazil,Embedded Systems Engineer Electrical and Computer Engineering Soccer Knitting,"['Writing about Performance', 'Computer Architecture', 'Fundamentals of Microelectronic Devices', 'Introduction to Quantum Engineering', 'Introduction to Random Signals and Noise']"
344,100345,Civil Engineering,Gardening,Running,Female,Transportation Engineer,Mexico,Transportation Engineer Civil Engineering Gardening Running,"['Architectural Engineering I', 'Physical Chemical Processes in Environmental Engineering', 'Applied Biological Principles and Processes in Environmental Engineering', 'Environmental Analytical Chemistry', 'Special Topics in Electrical and Computer Engineering']"
345,100346,Photonics and Optical Sciences,Photography,Wood Working,Male,Photonics Engineer,Spain,Photonics Engineer Photonics and Optical Sciences Photography Wood Working,"['Fields and Waves: Fundamentals of Information Propagation', 'Advanced Computer Architecture I', 'Physical Chemical Processes in Environmental Engineering', 'Introduction to Microelectronic Devices and Circuits', 'Signals and Systems - Lab']"
346,100347,Risk Engineering,Mountain Biking,Wine Tasting,Female,Risk Manager,Italy,Risk Manager Risk Engineering Mountain Biking Wine Tasting,"['Commercializing Technology Innovations: Turning Visions into Value', 'Designing Ethical Tech', 'Resource & Environmental Economics I', 'Engineering Management Seminar', 'Product Development']"
347,100348,Medical Technology Design,Sewing,Toy,Female,Medical Imaging Engineer,India,Medical Imaging Engineer Medical Technology Design Sewing Toy,"['Innovations in Drug Development', 'Physical Chemical Processes in Environmental Engineering', 'Designing Ethical Tech', 'Global Change Biology: From Molecules to Organisms', 'Invention to Application: Healthcare Research Commercialization']"
348,100349,Computational Mechanics and Scientific Computing,Chess,Photography,Male,Computational Fluid Dynamics Engineer,China,Computational Fluid Dynamics Engineer Computational Mechanics and Scientific Computing Chess Photography,"['Graph Analysis with Matrix Computation', 'Signals and Systems - Lab', 'Interdisciplinary Introduction to Computer Science', 'Fundamentals of Microelectronic Devices', 'Introduction to Computer Vision']"
349,100350,Climate and Sustainability Engineering,Gardening,Backpacking,Female,Renewable Energy Analyst,Russia,Renewable Energy Analyst Climate and Sustainability Engineering Gardening Backpacking,"['Tropical Ecology', 'Functional Ecology of Plants', 'Environmental Justice: Theory and Practice for Environmental Scientists and Policy Professionals', 'Resource & Environmental Economics I', 'Chemical Fate of Organic Compounds']"
350,100351,Biomedical Engineering,Pottery,Dance,Female,Biomedical Scientist,Sweden,Biomedical Scientist Biomedical Engineering Pottery Dance,"['Biomedical Aspects of Blast and Ballistics (GE, BB)', 'Special Topics in Electrical and Computer Engineering', 'Invention to Application: Healthcare Research Commercialization', 'Innovations in Drug Development', 'Designing Ethical Tech']"
351,100352,Design and Technology Innovation,Web Design,Drawing,Male,UX Researcher,Netherlands,UX Researcher Design and Technology Innovation Web Design Drawing,"['Advanced Topics in Design and Technology Innovation', 'Computer Architecture', 'AIPI Seminar', 'Special Topics in Electrical and Computer Engineering', 'Data Science']"
352,100353,Electrical Engineering,Music,Basketball,Male,Power Systems Engineer,Norway,Power Systems Engineer Electrical Engineering Music Basketball,"['Advanced Computer Architecture I', 'Computer Architecture', 'Compiler Construction', 'Special Topics in Electrical and Computer Engineering', 'Data Science']"
353,100354,AI,Yoga,Photography,Female,Machine Learning Engineer,Switzerland,Machine Learning Engineer AI Yoga Photography,"['Modeling Process and Algorithms', 'AIPI Seminar', 'Computer Architecture', 'Data Science', 'Deep Learning Applications']"
354,100355,Photonics and Optical Sciences,Dance,Weaving,Female,Water Resources Engineer,UK,Water Resources Engineer Photonics and Optical Sciences Dance Weaving,"['Physical Chemical Processes in Environmental Engineering', 'Sound in the Sea: Introduction to Marine Bioacoustics', 'Deep-Sea Science and Environmental Management', 'Introduction to Microelectronic Devices and Circuits', 'Global Change Biology: From Molecules to Organisms']"
355,100356,Computational Mechanics and Scientific Computing,Scuba Diving,Drawing,Other,Geotechnical Engineer,Australia,Geotechnical Engineer Computational Mechanics and Scientific Computing Scuba Diving Drawing,"['Global Change Biology: From Molecules to Organisms', 'Signals and Systems - Lab', 'Advanced Computer Architecture I', 'Marine Protected Area Monitoring and Management', 'Data Science']"
356,100357,Mechanical Engineering,Basketball,Pottery,Other,Penetration Tester,Japan,Penetration Tester Mechanical Engineering Basketball Pottery,"['Software Quality Management', 'Commercializing Technology Innovations: Turning Visions into Value', 'Innovation Management in Technology-Based Organizations', 'Negotiations and Consultative Selling in Technology', 'Product Management in High-Tech Companies']"
357,100358,Climate and Sustainability Engineering,Model Building,Drawing,Male,Electrical Engineering,Brazil,Electrical Engineering Climate and Sustainability Engineering Model Building Drawing,"['Tropical Ecology', 'Environmental Justice: Theory and Practice for Environmental Scientists and Policy Professionals', 'Functional Ecology of Plants', 'Advanced Computer Architecture I', 'Data Science']"
358,100359,Design and Technology Innovation,Archery,Embroidery,Other,Natural Language Processing Engineer,UK,Natural Language Processing Engineer Design and Technology Innovation Archery Embroidery,"['Advanced Computer Architecture I', 'Data Science', 'AIPI Seminar', 'New Ventures Deliver', 'New Ventures Develop']"
359,100360,AI,Running,Video Gaming,Male,AI/Machine Learning Engineer,United States,AI/Machine Learning Engineer AI Running Video Gaming,"['AIPI Seminar', 'Advanced Computer Architecture I', 'Data Science', 'Fundamentals of Game Development', 'Critical Analysis of Video Games']"
360,100361,Biomedical Engineering,Photography,Cooking,Female,Biomedical Research,Canada,Biomedical Research Biomedical Engineering Photography Cooking,"['Biomedical Aspects of Blast and Ballistics (GE, BB)', 'Signal Processing and Applied Mathematics', 'Modeling Cellular and Molecular Systems', 'Tropical Ecology', 'Invention to Application: Healthcare Research Commercialization']"
361,100362,Civil Engineering,Wood Working,Hiking,Male,Structural Engineer,United Kingdom,Structural Engineer Civil Engineering Wood Working Hiking,"['Physical Chemical Processes in Environmental Engineering', 'Architectural Engineering I', 'Applied Biological Principles and Processes in Environmental Engineering', 'Chemical Fate of Organic Compounds', 'Physical Chemical Processes in Environmental Engineering']"
362,100363,Climate and Sustainability Engineering,Gardening,Sustainable Design,Female,Climate Change Analyst,Australia,Climate Change Analyst Climate and Sustainability Engineering Gardening Sustainable Design,"['Marine Protected Area Monitoring and Management', 'Environmental Justice: Theory and Practice for Environmental Scientists and Policy Professionals', 'Functional Ecology of Plants', 'Global Change Biology: From Molecules to Organisms', 'Tropical Ecology']"
363,100364,Computational Mechanics and Scientific Computing,Mountain Biking,Digital Art,Male,High-Performance Computing Specialist,Germany,High-Performance Computing Specialist Computational Mechanics and Scientific Computing Mountain Biking Digital Art,"['Fundamentals of Game Development', 'AIPI Seminar', 'Special Topics in Electrical and Computer Engineering', 'Data Science', 'Writing about Performance']"
364,100365,Cybersecurity,Chess,Computer Programming,Male,Cybersecurity Analyst,India,Cybersecurity Analyst Cybersecurity Chess Computer Programming,"['Introduction to Cybersecurity Perspectives', 'Compiler Construction', 'Security Incident Detection, Response, and Resilience', 'Applying Machine Learning to Advance Cybersecurity', 'Cybersecurity Program Development, Operations & Analysis']"
365,100366,Design and Technology Innovation,Drawing,Sculpture,Non-Binary,Product Design Engineer,France,Product Design Engineer Design and Technology Innovation Drawing Sculpture,"['Interdisciplinary Introduction to Computer Science', 'Advanced Topics in Design and Technology Innovation', 'Designing Ethical Tech', 'Research and Technology Translation', 'Product Management in High-Tech Companies']"
366,100367,Electrical and Computer Engineering,Music,Computer Programming,Male,Robotics Engineer,Japan,Robotics Engineer Electrical and Computer Engineering Music Computer Programming,"['Control of Dynamic Systems', 'Signals and Systems - Lab', 'Introduction to Robotics and Automation', 'Introduction to Microelectronic Devices and Circuits', 'Fundamentals of Microelectronic Devices']"
367,100368,Environmental Engineering,Beekeeping,Environmental Advocacy,Female,Environmental Engineer,Brazil,Environmental Engineer Environmental Engineering Beekeeping Environmental Advocacy,"['Marine Protected Area Monitoring and Management', 'Tropical Ecology', 'Deep-Sea Science and Environmental Management', 'Global Change Biology: From Molecules to Organisms', 'Climate Tech Startups and Investors']"
368,100369,Financial Technology,Winemaking,Investment,Female,Financial Analyst,South Africa,Financial Analyst Financial Technology Winemaking Investment,"['Writing about Performance', 'Product Management in High-Tech Companies', 'Data Science', 'Innovation Management in Technology-Based Organizations', 'Marketing']"
369,100370,Materials Science and Engineering,Pottery,Glassblowing,Female,Materials Engineer,Spain,Materials Engineer Materials Science and Engineering Pottery Glassblowing,"['Physical Chemical Processes in Environmental Engineering', 'Chemical Fate of Organic Compounds', 'Control of Dynamic Systems', 'Fundamentals of Microelectronic Devices', 'Research and Technology Translation']"
370,100371,Mechanical Engineering,Baseball,Wood Working,Male,Renewable Energy Engineer,Mexico,Renewable Energy Engineer Mechanical Engineering Baseball Wood Working,"['Global Change Biology: From Molecules to Organisms', 'Deep-Sea Science and Environmental Management', 'Climate Tech Startups and Investors', 'Modeling Cellular and Molecular Systems', 'Applied Biological Principles and Processes in Environmental Engineering']"
371,100372,Medical Technology Design,Knitting,Embroidery,Female,Biomedical Device Engineer,Italy,Biomedical Device Engineer Medical Technology Design Knitting Embroidery,"['Marketing', 'Writing about Performance', 'Data Science', 'Special Topics in Electrical and Computer Engineering', 'Computer Architecture']"
372,100373,Photonics and Optical Sciences,Photography,Drawing,Non-Binary,Computational Fluid Dynamics Engineer,Sweden,Computational Fluid Dynamics Engineer Photonics and Optical Sciences Photography Drawing,"['Introduction to Signals and Systems', 'Intermediate Electromagnetic Theory', 'Environmental Analytical Chemistry', 'Fundamentals of Microelectronic Devices', 'Signals and Systems - Lab']"
373,100374,Risk Engineering,Backpacking,Mountain Biking,Male,Risk Analyst,Norway,Risk Analyst Risk Engineering Backpacking Mountain Biking,"['Writing about Performance', 'Introduction to Quantum Engineering', 'Introduction to Cybersecurity Perspectives', 'Security Incident Detection, Response, and Resilience', 'Cybersecurity Program Development, Operations & Analysis']"
374,100375,Game Design Development and Innovation,Video Gaming,Creative Writing,Female,Game Designer,Netherlands,Game Designer Game Design Development and Innovation Video Gaming Creative Writing,"['Critical Analysis of Video Games', 'Introduction to Cybersecurity Perspectives', 'Writing about Performance', 'Interdisciplinary Introduction to Computer Science', 'Fundamentals of Game Development']"
375,100376,Computational Mechanics and Scientific Computing,Web Design,Computer Programming,Male,Computational Scientist,Singapore,Computational Scientist Computational Mechanics and Scientific Computing Web Design Computer Programming,"['Design and Analysis of Algorithms', 'Introduction to Algorithms', 'Computational Microeconomics', 'Computer Architecture', 'Graph Analysis with Matrix Computation']"
376,100377,Electrical and Computer Engineering,Music,Computer Programming,Female,User Experience (UX) Designer,China,User Experience (UX) Designer Electrical and Computer Engineering Music Computer Programming,"['Fundamentals of Game Development', 'Computing and the Brain', 'Programming and Problem Solving', 'History of Computing, Cryptography, and Robotic Devices', 'Interdisciplinary Introduction to Computer Science']"
377,100378,Environmental Engineering,Gardening,Environmental Advocacy,Male,Water Resources Engineer,New Zealand,Water Resources Engineer Environmental Engineering Gardening Environmental Advocacy,"['Marine Protected Area Monitoring and Management', 'Deep-Sea Science and Environmental Management', 'Global Change Biology: From Molecules to Organisms', 'Climate Tech Startups and Investors']"
378,100379,Financial Technology,Chess,Investment,Male,Financial Quantitative Analyst,Switzerland,Financial Quantitative Analyst Financial Technology Chess Investment,"['Writing about Performance', 'Operations Management', 'Commercializing Technology Innovations: Turning Visions into Value', 'Marketing', 'Data Science']"
379,100380,Cybersecurity,Running,Hiking,Female,Cryptographer,Belgium,Cryptographer Cybersecurity Running Hiking,"['Advanced Computer Architecture I', 'Security Incident Detection, Response, and Resilience', 'Designing Ethical Tech', 'Applying Machine Learning to Advance Cybersecurity', 'Computer Architecture']"
380,100381,Design and Technology Innovation,Sculpture,Drawing,Male,Innovation Strategist,Denmark,Innovation Strategist Design and Technology Innovation Sculpture Drawing,"['Writing about Performance', 'Narrative Design', 'Advanced Topics in Design and Technology Innovation', 'New Ventures Discover', 'Designing Ethical Tech']"
381,100382,Civil Engineering,Basketball,Soccer,Male,Transportation Engineer,Malaysia,Transportation Engineer Civil Engineering Basketball Soccer,"['Architectural Engineering I', 'Writing about Performance', 'Applied Biological Principles and Processes in Environmental Engineering', 'Chemical Fate of Organic Compounds', 'Special Topics in Electrical and Computer Engineering']"
382,100383,Biomedical Engineering,Dance,Sewing,Female,Clinical Engineer,Thailand,Clinical Engineer Biomedical Engineering Dance Sewing,"['Innovations in Drug Development', 'Writing about Performance', 'Applied Biological Principles and Processes in Environmental Engineering', 'Invention to Application: Healthcare Research Commercialization', 'Introduction to Microelectronic Devices and Circuits']"
383,100384,AI,Snowboarding,Video Gaming,Male,Natural Language Processing Engineer,South Korea,Natural Language Processing Engineer AI Snowboarding Video Gaming,"['AIPI Seminar', 'Writing about Performance', 'Sourcing Data for Analytics', 'Data Science', 'Optimization in Practice']"
384,100385,Financial Technology,Shopping,Wine Tasting,Female,Investment Banker,Hong Kong,Investment Banker Financial Technology Shopping Wine Tasting,"['Negotiations and Consultative Selling in Technology', 'Product Management in High-Tech Companies', 'Engineering Management Seminar', 'Writing about Performance', 'Software Quality Management']"
385,100386,Electrical and Computer Engineering,Video Gaming,Computer Programming,Male,AI Ethics Specialist,Taiwan,AI Ethics Specialist Electrical and Computer Engineering Video Gaming Computer Programming,"['Fundamentals of Game Development', 'Critical Analysis of Video Games', 'Designing Ethical Tech', 'Research and Technology Translation', 'Negotiations and Consultative Selling in Technology']"
386,100387,Environmental Engineering,Hiking,Environmental Advocacy,Female,Energy Efficiency Consultant,Finland,Energy Efficiency Consultant Environmental Engineering Hiking Environmental Advocacy,"['Functional Ecology of Plants', 'Writing about Performance', 'Marine Protected Area Monitoring and Management', 'Deep-Sea Science and Environmental Management', 'Tropical Ecology']"
387,100388,Mechanical Engineering,Metalworking,Wood Working,Male,Mechanical Design Engineer,Portugal,Mechanical Design Engineer Mechanical Engineering Metalworking Wood Working,"['Commercializing Technology Innovations: Turning Visions into Value', 'Introduction to Robotics and Automation', 'Control of Dynamic Systems', 'Introduction to Signals and Systems', 'Special Topics in Electrical and Computer Engineering']"
388,100389,Civil Engineering,Backpacking,Sustainable Design,Non-Binary,Climate Change Analyst,Ireland,Climate Change Analyst Civil Engineering Backpacking Sustainable Design,"['Environmental Transport Phenomena', 'Architectural Engineering I', 'Applied Biological Principles and Processes in Environmental Engineering', 'Chemical Fate of Organic Compounds', 'Environmental Analytical Chemistry']"
389,100390,AI,Video Gaming,Web Design,Female,AI/Machine Learning Engineer,United States,AI/Machine Learning Engineer AI Video Gaming Web Design,"['AIPI Seminar', 'Deep Learning Applications', 'Critical Analysis of Video Games', 'Legal, Societal, and Ethical Implications of AI', 'Data Science']"
390,100391,Biomedical Engineering,Cooking,Photography,Male,Biomedical Research,Canada,Biomedical Research Biomedical Engineering Cooking Photography,"['Biomedical Aspects of Blast and Ballistics (GE, BB)', 'Tropical Ecology', 'Invention to Application: Healthcare Research Commercialization', 'Modeling Cellular and Molecular Systems', 'Applied Biological Principles and Processes in Environmental Engineering']"
391,100392,Civil Engineering,Wood Working,Hiking,Male,Structural Engineer,United Kingdom,Structural Engineer Civil Engineering Wood Working Hiking,"['Physical Chemical Processes in Environmental Engineering', 'Architectural Engineering I', 'Physical Chemical Processes in Environmental Engineering', 'Environmental Analytical Chemistry', 'Tropical Ecology']"
392,100393,Climate and Sustainability Engineering,Gardening,Mountain Biking,Female,Renewable Energy Engineer,Australia,Renewable Energy Engineer Climate and Sustainability Engineering Gardening Mountain Biking,"['Tropical Ecology', 'Writing about Performance', 'Global Change Biology: From Molecules to Organisms', 'Deep-Sea Science and Environmental Management', 'Marine Protected Area Monitoring and Management']"
393,100394,Computational Mechanics and Scientific Computing,Drawing,Digital Art,Male,High-Performance Computing Specialist,Germany,High-Performance Computing Specialist Computational Mechanics and Scientific Computing Drawing Digital Art,"['Arts Activism & Everyday Technology', 'Design and Analysis of Algorithms', 'Introduction to Algorithms', 'Writing about Performance', 'Data Science']"
394,100395,Cybersecurity,Chess,Snowboarding,Female,Penetration Tester,France,Penetration Tester Cybersecurity Chess Snowboarding,"['Advanced Topics in Design and Technology Innovation', 'Introduction to Quantum Engineering', 'Applying Machine Learning to Advance Cybersecurity', 'Cybersecurity Program Development, Operations & Analysis', 'Identity and Access Management']"
395,100396,Design and Technology Innovation,Pottery,Crochet,Male,Product Design Engineer,Japan,Product Design Engineer Design and Technology Innovation Pottery Crochet,"['Writing about Performance', 'Innovation Management in Technology-Based Organizations', 'Narrative Design', 'Advanced Topics in Design and Technology Innovation', 'New Ventures Develop']"
396,100397,Electrical and Computer Engineering,Basketball,Writing,Male,User Experience (UX) Designer,Brazil,User Experience (UX) Designer Electrical and Computer Engineering Basketball Writing,"['Interdisciplinary Introduction to Computer Science', 'Research and Technology Translation', 'Marketing', 'Design Thinking and Innovation', 'Software Quality Management']"
397,100398,Environmental Engineering,Beekeeping,Embroidery,Female,Sustainable Building Design Engineer,South Africa,Sustainable Building Design Engineer Environmental Engineering Beekeeping Embroidery,"['Writing about Performance', 'Tropical Ecology', 'Functional Ecology of Plants', 'Environmental Justice: Theory and Practice for Environmental Scientists and Policy Professionals', 'Deep-Sea Science and Environmental Management']"
398,100399,Financial Technology,Shopping,Knitting,Female,Financial Technology,India,Financial Technology Financial Technology Shopping Knitting,"['Data Science', 'Narrative Design', 'Advanced Topics in Design and Technology Innovation', 'Negotiations and Consultative Selling in Technology', 'Operations Management']"
399,100400,Game Design Development and Innovation,Video Gaming,Drawing,Male,Video Game Designer,United States,Video Game Designer Game Design Development and Innovation Video Gaming Drawing,"['Special Topics in Electrical and Computer Engineering', 'Critical Analysis of Video Games', 'Introduction to Algorithms', 'Interdisciplinary Introduction to Computer Science', 'Fundamentals of Game Development']"
400,100401,Materials Science and Engineering,Metalworking,Photography,Female,Materials Scientist,Canada,Materials Scientist Materials Science and Engineering Metalworking Photography,"['Environmental Analytical Chemistry', 'Physical Chemical Processes in Environmental Engineering', 'Chemical Fate of Organic Compounds', 'Architectural Engineering I', 'Environmental Transport Phenomena']"
401,100402,Mechanical Engineering,Wood Working,Hiking,Male,Mechanical Engineer,United Kingdom,Mechanical Engineer Mechanical Engineering Wood Working Hiking,"['Physical Chemical Processes in Environmental Engineering', 'Compiler Construction', 'Data Science', 'Computer Architecture', 'Special Topics in Electrical and Computer Engineering']"
402,100403,Medical Technology Design,Knitting,Pottery,Female,Biomedical Device Engineer,Australia,Biomedical Device Engineer Medical Technology Design Knitting Pottery,"['Invention to Application: Healthcare Research Commercialization', 'Research and Technology Translation', 'Designing Ethical Tech', 'Innovations in Drug Development', 'Non-Profit Cultural Institutions']"
403,100404,Photonics and Optical Sciences,Drawing,Photography,Male,Optical Engineer,Germany,Optical Engineer Photonics and Optical Sciences Drawing Photography,"['Introduction to Computer Vision', 'Design and Analysis of Algorithms', 'Signals and Systems - Lab', 'Data Science', 'Introduction to Microelectronic Devices and Circuits']"
404,100405,Risk Engineering,Chess,Running,Female,Risk Engineer,France,Risk Engineer Risk Engineering Chess Running,"['Introduction to Quantum Engineering', 'Identity and Access Management', 'The Human Element in Cybersecurity', 'Introduction to Cybersecurity Perspectives', 'Security Incident Detection, Response, and Resilience']"
405,100406,AI,Video Gaming,Web Design,Male,AI Ethics Specialist,Japan,AI Ethics Specialist AI Video Gaming Web Design,"['Writing about Performance', 'AIPI Seminar', 'Data Science', 'Designing Ethical Tech', 'Operationalizing AI']"
406,100407,Biomedical Engineering,Cooking,Photography,Female,Clinical Engineer,Brazil,Clinical Engineer Biomedical Engineering Cooking Photography,"['Biomedical Aspects of Blast and Ballistics (GE, BB)', 'Signal Processing and Applied Mathematics', 'Tropical Ecology', 'Invention to Application: Healthcare Research Commercialization', 'Modeling Cellular and Molecular Systems']"
407,100408,Civil Engineering,Wood Working,Hiking,Male,Transportation Engineer,South Africa,Transportation Engineer Civil Engineering Wood Working Hiking,"['Environmental Transport Phenomena', 'Architectural Engineering I', 'Applied Biological Principles and Processes in Environmental Engineering', 'Chemical Fate of Organic Compounds', 'Physical Chemical Processes in Environmental Engineering']"
408,100409,Climate and Sustainability Engineering,Gardening,Mountain Biking,Female,Climate Change Analyst,India,Climate Change Analyst Climate and Sustainability Engineering Gardening Mountain Biking,"['Tropical Ecology', 'Climate Tech Startups and Investors', 'Writing about Performance', 'Resource & Environmental Economics I', 'Marine Protected Area Monitoring and Management']"
